2018, Mitsubishi , Outlander SE , 19178, 9412,  4 Cyl 2.4 L,  White ,  AWD,  Description: Used 2018 Mitsubishi Outlander SE with AWD Air Conditioning Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Split/Folding Seats Third Row Seating 
2018, Ford , EcoSport Titanium , 19899, 5918,  4 Cyl 2.0 L,  White ,  4WD,  Description: Used 2018 Ford EcoSport Titanium with 4WD Air Conditioning Cruise Control Fog Lights Heated Seats Keyless Entry MP3 Navigation System Power Sun/Moonroof Rear-View Camera Split/Folding Seats 
2017, Nissan , Rogue Sport SV , 18900, 3667,  4 Cyl 2.0 L,  White ,  FWD,  Description: Used 2017 Nissan Rogue Sport SV with FWD Air Conditioning Alloy Wheels AM/FM Aux Audio Adapter Cloth Seats Cruise Control Handsfree/Bluetooth Integration Power Locks Power Seat (Driver) Rear-View Camera 
2017, Kia , Sportage LX , 15498, 27365,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 Kia Sportage LX with FWD Alloy Wheels Aux Audio Adapter CD (Single Disc) Cloth Seats Cruise Control MP3 Power Windows Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Honda , HR-V LX , 15895, 16342,  4 Cyl 1.8 L,  White ,  AWD,  Description: Used 2017 Honda HR-V LX with AWD Air Conditioning AM/FM Aux Audio Adapter CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats 
2017, Volkswagen , Tiguan S , 14990, 10285,  4 Cyl 2.0 L,  Black ,  FWD,  Description: Used 2017 Volkswagen Tiguan S with FWD Air Conditioning Handsfree/Bluetooth Integration Heated Seats Intermittent Wipers Keyless Entry Power Seat (Driver) Power Steering Rear Window Defroster Rear-View Camera 
2019, Kia , Sorento LX , 19993, 11489,  6 Cyl 3.3 L,  White ,  AWD,  Description: Used 2019 Kia Sorento LX with AWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats Third Row Seating 
2017, Nissan , Pathfinder SV , 16495, 46056,  6 Cyl 3.5 L,  Silver ,  FWD,  Description: Used 2017 Nissan Pathfinder SV with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Remote Start Third Row Seating 
2017, Nissan , Pathfinder SV , 16495, 46056,  6 Cyl 3.5 L,  Silver ,  FWD,  Description: Used 2017 Nissan Pathfinder SV with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Remote Start Third Row Seating 
2018, Jeep , Compass Latitude , 18899, 3282,  4 Cyl 2.4 L,  Blue ,  4WD,  Description: Used 2018 Jeep Compass Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Power Steering Power Windows Rear-View Camera 
2018, Mitsubishi , Outlander Sport , 15888, 5523,  4 Cyl 2.0 L,  Gray ,  FWD,  Description: Used 2018 Mitsubishi Outlander Sport with FWD Air Conditioning Cloth Seats Cruise Control Heated Seats Keyless Entry Leather Seats Navigation System Power Steering Rear-View Camera Split/Folding Seats 
2017, Chevrolet , Equinox LS , 17978, 23909,  4 Cyl 2.4 L,  Gray ,  AWD,  Description: Used 2017 Chevrolet Equinox LS with AWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Power Steering Rear-View Camera Satellite Radio 
2017, Nissan , Rogue SV , 17995, 15737,  4 Cyl 2.5 L,  Silver ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry Rear-View Camera Remote Start Split/Folding Seats Third Row Seating 
2017, Chevrolet , Equinox LT , 19358, 25527,  4 Cyl 2.4 L,  Gray ,  AWD,  Description: Used 2017 Chevrolet Equinox LT with AWD Air Conditioning Alloy Wheels Cruise Control Heated Seats Keyless Entry Leather Seats MP3 Navigation System Rear-View Camera Remote Start 
2017, Nissan , Rogue S , 12995, 48945,  4 Cyl 2.5 L,  Red ,  FWD,  Description: Used 2017 Nissan Rogue S with FWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio 
2018, Jeep , Renegade Latitude , 18990, 3454,  4 Cyl 2.4 L,  Black ,  4WD,  Description: Used 2018 Jeep Renegade Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry Power Steering Remote Start Satellite Radio Split/Folding Seats 
2018, Nissan , Rogue S , 17999, 12282,  4 Cyl 2.5 L,  Black ,  FWD,  Description: Used 2018 Nissan Rogue S with FWD Air Conditioning AM/FM CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Power Steering Power Windows Rear-View Camera Split/Folding Seats 
2017, Chevrolet , Equinox LT , 17995, 28043,  4 Cyl 2.4 L,  Black ,  AWD,  Description: Used 2017 Chevrolet Equinox LT with AWD Alloy Wheels Front Airbags (Driver) Handsfree/Bluetooth Integration Intermittent Wipers Keyless Entry Power Seat (Driver) Power Windows Rear-View Camera Trip Computer 
2017, Jeep , Cherokee Latitude , 14900, 48490,  4 Cyl 2.4 L,  Black ,  FWD,  Description: Used 2017 Jeep Cherokee Latitude with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2017, Kia , Sportage EX , 19946, 37087,  4 Cyl 2.4 L,  Blue ,  AWD,  Description: Used 2017 Kia Sportage EX with AWD Air Conditioning Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Power Steering Rear-View Camera Split/Folding Seats 
2018, Chevrolet , Equinox LT , 17761, 19256,  4 Cyl 1.5 L,  Silver ,  AWD,  Description: Used 2018 Chevrolet Equinox LT with AWD Air Conditioning Alloy Wheels AM/FM Cloth Seats Cruise Control Keyless Entry MP3 Power Windows Rear-View Camera Satellite Radio 
2017, Subaru , Crosstrek Premium , 18831, 37130,  4 Cyl 2.0 L,  Gray ,  AWD,  Description: Used 2017 Subaru Crosstrek Premium with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry MP3 Rear-View Camera Split/Folding Seats 
2019, Jeep , Cherokee Latitude Plus, 19495, 16406,  4 Cyl 2.4 L,  Silver ,  4WD,  Description: Used 2019 Jeep Cherokee Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2018, Dodge , Journey Crossroad , 18988, 10676,  6 Cyl 3.6 L,  Gray ,  AWD,  Description: Used 2018 Dodge Journey Crossroad with AWD Air Conditioning AM/FM Cruise Control DVD Fog Lights Keyless Entry Leather Seats Power Steering Split/Folding Seats Third Row Seating 
2018, Jeep , Renegade Sport , 15999, 11851,  4 Cyl 2.4 L,  White ,  4WD,  Description: Used 2018 Jeep Renegade Sport with 4WD Air Conditioning AM/FM Aux Audio Adapter CD (Single Disc) Cloth Seats Intermittent Wipers Keyless Entry Power Steering Rear-View Camera Split/Folding Seats 
2017, GMC , Terrain SLE SLE-2, 19310, 17237,  4 Cyl 2.4 L,  Black ,  AWD,  Description: Used 2017 GMC Terrain SLE with AWD Air Conditioning Alloy Wheels Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Remote Start Satellite Radio 
2019, Mazda , CX-3 Touring , 19199, 23699,  4 Cyl 2.0 L,  Blue ,  AWD,  Description: Used 2019 Mazda CX-3 Touring with AWD Air Conditioning Alloy Wheels AM/FM Cruise Control Heated Seats Keyless Entry Power Steering Power Windows Rear-View Camera Split/Folding Seats 
2018, Nissan , Rogue Sport S , 17792, 17478,  4 Cyl 2.0 L,  Red ,  AWD,  Description: Used 2018 Nissan Rogue Sport S with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio 
2018, Ford , EcoSport Titanium , 18999, 14081,  4 Cyl 2.0 L,  Black ,  4WD,  Description: Used 2018 Ford EcoSport Titanium with 4WD Air Conditioning Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Remote Start 
2017, Nissan , Pathfinder S , 18449, 33543,  6 Cyl 3.5 L,  Black ,  4WD,  Description: Used 2017 Nissan Pathfinder S with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Rear-View Camera Satellite Radio Split/Folding Seats Third Row Seating 
2017, Hyundai , Tucson Eco , 15490, 53064,  4 Cyl 1.6 L,  White ,  AWD,  Description: Used 2017 Hyundai Tucson Eco with AWD Air Conditioning AM/FM Cloth Seats Cruise Control DVD Fog Lights Navigation System Power Seat (Driver) Power Steering Trip Computer 
2017, Mitsubishi , Outlander Sport ES , 13995, 23973,  4 Cyl 2.0 L,  Gray ,  AWD,  Description: Used 2017 Mitsubishi Outlander Sport ES with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Split/Folding Seats 
2017, Hyundai , Santa Fe Sport , 17300, 31598,  4 Cyl 2.4 L,  Silver ,  AWD,  Description: Used 2017 Hyundai Santa Fe Sport with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2018, Ford , Escape SE , 19157, 11105,  4 Cyl 1.5 L,  Gold ,  4WD,  Description: Used 2018 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Rear-View Camera Split/Folding Seats 
2017, Chevrolet , Trax LT 1LT, 15500, 14817,  4 Cyl 1.4 L,  Gray ,  FWD,  Description: Used 2017 Chevrolet Trax LT with FWD Air Conditioning Alloy Wheels AM/FM Cruise Control Keyless Entry Power Steering Power Windows Rear-View Camera Remote Start Satellite Radio 
2017, Chevrolet , Equinox LT , 16200, 35060,  4 Cyl 2.4 L,  Silver ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2017, Chevrolet , Equinox LT , 16000, 31354,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2017, Jeep , Cherokee Trailhawk , 19690, 68742,  6 Cyl 3.2 L,  Gray ,  4WD,  Description: Used 2017 Jeep Cherokee Trailhawk with 4WD Air Conditioning Aux Audio Adapter Cruise Control Fog Lights Front Airbags (Driver) Intermittent Wipers Power Steering Rear Window Defroster Split/Folding Seats Trip Computer 
2017, Nissan , Rogue Sport SL , 19950, 21623,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Nissan Rogue Sport SL with AWD Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Remote Start 
2017, Nissan , Pathfinder SV , 19995, 38439,  6 Cyl 3.5 L,  Silver ,  4WD,  Description: Used 2017 Nissan Pathfinder SV with 4WD Air Conditioning AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio Third Row Seating 
2018, Jeep , Renegade Latitude , 17590, 20026,  4 Cyl 2.4 L,  Gray ,  4WD,  Description: Used 2018 Jeep Renegade Latitude with 4WD Air Conditioning Alloy Wheels AM/FM Aux Audio Adapter Cruise Control Fog Lights Keyless Entry Power Steering Rear-View Camera Satellite Radio 
2018, Nissan , Rogue S , 18701, 4663,  4 Cyl 2.5 L,  Unspecified ,  AWD,  Description: Used 2018 Nissan Rogue S with AWD Air Conditioning Alloy Wheels Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Power Sun/Moonroof Rear-View Camera Split/Folding Seats 
2018, Chevrolet , Trax LS , 14975, 20912,  4 Cyl 1.4 L,  Blue ,  AWD,  Description: Used 2018 Chevrolet Trax LS with AWD Air Conditioning AM/FM Aux Audio Adapter Cloth Seats Intermittent Wipers Keyless Entry Power Steering Power Windows Rear-View Camera Split/Folding Seats 
2017, Chevrolet , Equinox LT , 17500, 19135,  4 Cyl 2.4 L,  Blue ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
2017, Nissan , Pathfinder S , 18449, 33543,  6 Cyl 3.5 L,  Black ,  4WD,  Description: Used 2017 Nissan Pathfinder S with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Rear-View Camera Satellite Radio Split/Folding Seats Third Row Seating 
2017, Buick , Encore Preferred , 15995, 36315,  4 Cyl 1.4 L,  Blue ,  AWD,  Description: Used 2017 Buick Encore Preferred with AWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Rear-View Camera Satellite Radio Split/Folding Seats 
2019, Kia , Sportage LX , 16995, 15708,  4 Cyl 2.4 L,  Silver ,  FWD,  Description: Used 2019 Kia Sportage LX with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Power Steering Power Windows Rear-View Camera 
2017, Mitsubishi , Outlander Sport ES , 13995, 23973,  4 Cyl 2.0 L,  Gray ,  AWD,  Description: Used 2017 Mitsubishi Outlander Sport ES with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Split/Folding Seats 
2017, GMC , Terrain SLE SLE-2, 19500, 24906,  4 Cyl 2.4 L,  Blue ,  AWD,  Description: Used 2017 GMC Terrain SLE with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Satellite Radio 
2017, Nissan , Rogue S , 17437, 20083,  4 Cyl 2.5 L,  Gray ,  AWD,  Description: Used 2017 Nissan Rogue S with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio 
2018, Nissan , Rogue S , 19578, 6669,  4 Cyl 2.5 L,  Gray ,  AWD,  Description: Used 2018 Nissan Rogue S with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio 
2017, Chevrolet , Equinox LT , 16600, 29588,  4 Cyl 2.4 L,  Blue ,  FWD,  Description: Used 2017 Chevrolet Equinox LT with FWD Air Conditioning Alloy Wheels AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio 
