2017, Jeep , Patriot Latitude ,11713,  4 Cyl 2.4 L,  Black ,  4WD,  Description: Used 2017 Jeep Patriot Latitude with 4WD Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Power Sun/Moonroof Rear-View Camera ,1,16991
2017, Jeep , Compass Latitude ,15267,  4 Cyl 2.4 L,  Black ,  4WD,  Description: Used 2017 Jeep Compass Latitude with 4WD Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Power Sun/Moonroof Rear-View Camera Remote Start ,1,17991
2017, Chevrolet , Trax LT 1LT,17106,  4 Cyl 1.4 L,  Black ,  FWD,  Description: Used 2017 Chevrolet Trax LT with FWD Air Conditioning Cruise Control Intermittent Wipers Keyless Entry Navigation System Power Seat (Driver) Power Steering Rear Window Defroster Remote Start Split/Folding Seats ,1,16995
2018, Hyundai , Santa Fe Sport ,33583,  4 Cyl 2.4 L,  White ,  AWD,  Description: Used 2018 Hyundai Santa Fe Sport with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats Third Row Seating ,1,16799
2017, Hyundai , Santa Fe Sport ,15021,  4 Cyl 2.4 L,  White ,  AWD,  Description: Used 2017 Hyundai Santa Fe Sport with AWD Air Conditioning Aux Audio Adapter Cloth Seats Cruise Control Intermittent Wipers Keyless Entry Power Steering Rear-View Camera Split/Folding Seats Trip Computer ,1,19488
2017, Nissan , Rogue SV ,23570,  4 Cyl 2.5 L,  White ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning AM/FM CD (Single Disc) Cruise Control Keyless Entry MP3 Power Windows Rear-View Camera Satellite Radio Split/Folding Seats ,1,17998
2017, Volkswagen , Tiguan Wolfsburg Edition ,22967,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Volkswagen Tiguan Wolfsburg Edition with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,19285
2017, GMC , Terrain SLE SLE-1,30445,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 GMC Terrain SLE with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Power Steering Satellite Radio Split/Folding Seats ,1,16248
2017, Ford , Escape SE ,20807,  4 Cyl 1.5 L,  Blue ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD 4-Wheel Disc Brakes Air Conditioning Alloy Wheels AM/FM Cloth Seats Cruise Control Fog Lights Keyless Entry Power Steering Split/Folding Seats ,1,18595
2017, Jeep , Patriot Latitude ,19576,  4 Cyl 2.4 L,  Blue ,  4WD,  Description: Used 2017 Jeep Patriot Latitude with 4WD 4-Wheel Disc Brakes Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Heated Seats Power Seat (Driver) Power Steering Split/Folding Seats ,1,14495
2017, Kia , Sportage LX ,32072,  4 Cyl 2.4 L,  Silver ,  AWD,  Description: Used 2017 Kia Sportage LX with AWD Air Conditioning Alloy Wheels AM/FM Aux Audio Adapter Fog Lights Keyless Entry Power Steering Power Windows Rear-View Camera Trip Computer ,1,14342
2018, Volkswagen , Tiguan S ,10588,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2018 Volkswagen Tiguan S with AWD Air Conditioning Alloy Wheels AM/FM Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera ,1,19872
2017, Ford , Escape SE ,46106,  4 Cyl 2.0 L,  Black ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Rear-View Camera Split/Folding Seats ,1,15780
2017, Mitsubishi , Outlander Sport ES ,26069,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Mitsubishi Outlander Sport ES with AWD Air Conditioning Alloy Wheels Aux Audio Adapter Cloth Seats Cruise Control Intermittent Wipers Keyless Entry Power Steering Split/Folding Seats Trip Computer ,1,13991
2017, Ford , Escape Titanium ,48996,  4 Cyl 1.5 L,  Red ,  4WD,  Description: Used 2017 Ford Escape Titanium with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry MP3 Rear-View Camera Split/Folding Seats ,1,17888
2017, GMC , Terrain SLE SLE-1,23960,  4 Cyl 2.4 L,  Silver ,  AWD,  Description: Used 2017 GMC Terrain SLE with AWD Air Conditioning Aux Audio Adapter Cruise Control Intermittent Wipers Power Locks Power Seat (Driver) Power Steering Rear Window Defroster Split/Folding Seats Trip Computer ,1,18910
